date,level,category
2019/3/5,neural,business
2019/3/5,positive,business
2019/3/6,negative,business
2019/3/6,negative,health
2019/3/6,neural,entertainment
2019/3/7,neural,health
2019/3/9,neural,entertainment
2019/3/11,neural,science and technology
2019/3/11,super positive,business
2019/3/11,neural,science and technology
2019/3/11,neural,science and technology
2019/3/12,positive,business
2019/3/12,negative,science and technology
2019/3/13,negative,science and technology
2019/3/13,negative,business
2019/3/14,positive,business
2019/3/15,negative,business
2019/3/15,positive,business
2019/3/15,positive,business
2019/3/15,positive,business
2019/3/15,positive,business
2019/3/15,neural,science and technology
2019/3/17,neural,science and technology
2019/3/18,neural,science and technology
2019/3/18,neural,business
2019/3/18,neural,business
2019/3/20,positive,business
2019/3/20,neural,business
2019/3/20,negative,business
2019/3/20,negative,science and technology
2019/3/21,neural,business
2019/3/21,positive,business
2019/3/24,neural,science and technology
2019/3/25,positive,business
2019/3/27,neural,business
2019/3/28,positive,business
2019/3/28,positive,entertainment
2019/3/28,neural,entertainment
2019/3/28,neural,business
2019/3/28,negative,business
2019/3/28,positive,business
2019/3/29,neural,business
2019/3/29,neural,health
2019/3/29,positive,business
2019/3/29,neural,business
2019/3/29,positive,business
2019/3/29,negative,business
2019/3/29,positive,business
2019/3/30,neural,science and technology
2019/4/1,neural,entertainment
2019/4/1,neural,entertainment
2019/4/1,negative,business
2019/4/1,positive,entertainment
2019/4/1,negative,business
2019/4/1,neural,health
2019/4/1,super negative,science and technology
2019/4/1,positive,science and technology
2019/4/2,neural,business
2019/4/2,negative,business
2019/4/2,positive,business
2019/4/2,neural,business
2019/4/2,positive,business
2019/4/2,neural,business
2019/4/2,positive,business
2019/4/2,negative,science and technology
2019/4/2,positive,business
2019/4/2,neural,science and technology
2019/4/2,positive,science and technology
2019/4/2,neural,business
2019/4/3,positive,business
2019/4/3,neural,business
2019/4/3,neural,business
2019/4/3,neural,health
2019/4/3,neural,business
2019/4/3,positive,health
2019/4/4,negative,business
2019/4/4,positive,business
2019/4/4,positive,business
2019/4/4,neural,business
2019/4/4,negative,business
2019/4/4,neural,business
2019/4/4,negative,business
2019/4/4,neural,business
2019/4/5,positive,business
2019/4/5,super positive,business
2019/4/5,super negative,entertainment
2019/4/5,neural,business
2019/4/5,neural,business
2019/4/5,super positive,business
2019/4/5,neural,entertainment
2019/4/5,neural,science and technology
2019/4/5,negative,science and technology
2019/4/5,negative,business
2019/4/7,neural,business
2019/4/7,neural,business
2019/4/8,neural,business
2019/4/8,neural,entertainment
2019/4/8,neural,business
2019/4/9,neural,science and technology
2019/4/9,neural,entertainment
2019/4/9,super negative,entertainment
2019/4/9,neural,business
2019/4/9,negative,business
2019/4/9,positive,entertainment
2019/4/9,positive,business
2019/4/10,neural,entertainment
2019/4/10,positive,science and technology
2019/4/10,neural,business
2019/4/10,neural,entertainment
2019/4/10,neural,business
2019/4/10,neural,business
2019/4/11,negative,business
2019/4/11,super positive,business
2019/4/11,negative,entertainment
2019/4/11,positive,science and technology
2019/4/11,positive,business
2019/4/11,super negative,business
2019/4/11,negative,science and technology
2019/4/11,negative,entertainment
2019/4/11,neural,science and technology
2019/4/11,positive,business
2019/4/11,neural,business
2019/4/11,neural,science and technology
2019/4/12,negative,business
2019/4/12,positive,science and technology
2019/4/12,neural,business
2019/4/12,super negative,health
2019/4/12,negative,business
2019/4/12,positive,business
2019/4/12,neural,science and technology
2019/4/12,neural,entertainment
2019/4/13,neural,entertainment
2019/4/14,neural,entertainment
2019/4/14,neural,entertainment
2019/4/14,neural,business
2019/4/14,positive,science and technology
2019/4/14,neural,business
2019/4/14,positive,health
2019/4/14,super negative,health
2019/4/15,negative,business
2019/4/15,negative,science and technology
2019/4/15,neural,science and technology
2019/4/15,neural,science and technology
2019/4/15,positive,business
2019/4/15,neural,health
2019/4/15,super positive,health
2019/4/16,neural,entertainment
2019/4/16,neural,health
2019/4/17,super positive,entertainment
2019/4/17,neural,business
2019/4/17,neural,business
2019/4/18,neural,science and technology
2019/4/19,positive,business
2019/4/20,negative,entertainment
2019/4/20,negative,entertainment
2019/4/21,positive,business
2019/4/22,negative,entertainment
2019/4/22,positive,business
2019/4/22,negative,business
2019/4/22,positive,business
2019/4/22,negative,business
2019/4/22,neural,science and technology
2019/4/22,neural,business
2019/4/23,neural,entertainment
2019/4/23,neural,science and technology
2019/4/23,negative,business
2019/4/23,neural,science and technology
2019/4/23,neural,business
2019/4/24,positive,science and technology
